g2_con,g2_con_coded,g2_con_time,g2_incon,g2_incon_coded,g2_incon_time,g2_n,g2_n_coded,g2_n_time,p2_con,p2_con_coded,p2_con_time,p2_incon,p2_incon_coded,p2_incon_time,p2_n,p2_n_coded,p2_n_time,d2_con,d2_con_coded,d2_con_time,d2_incon,d2_incon_coded,d2_incon_time,d2_n,d2_n_coded,d2_n_time,e2_con,e2_con_coded,e2_con_time,e2_incon,e2_incon_coded,e2_incon_time,e2_n,e2_n_coded,e2_n_time
Female,1,0.516,Female,1,1.441,Female,1,2.99,Democrat,1,1.505,Democrat,1,0.668,Democrat,1,1.026,Left,1,2.298,Left,1,0.496,Left,1,2.835,Angry,1,1.159,Angry,1,4.294,Angry,1,0.614
Female,1,4.531,Female,1,3.032,Female,1,1.186,Democrat,1,1.783,Democrat,1,1.288,Democrat,1,0.952,Left,1,0.622,Left,1,4.198,Left,1,3.848,Disgust,2,0.674,Disgust,2,1.045,Disgust,2,2.53
Female,1,0.863,Female,1,0.63,Female,1,1.746,Democrat,1,4.849,Democrat,1,0.751,Democrat,1,0.733,Middle,2,1.175,Left,1,4.403,Left,1,0.74,Disgust,2,0.647,Joy,4,1.293,Disgust,2,1.275
Male,2,3.991,Female,1,3.957,Female,1,0.793,Democrat,1,0.856,Democrat,1,0.772,Democrat,1,2.494,Middle,2,4.293,Left,1,3.002,Left,1,4.327,Disgust,2,1.618,Joy,4,3.647,Disgust,2,1.281
Male,2,4.08,Female,1,0.795,Female,1,2.465,Democrat,1,1.188,Democrat,1,4.051,Democrat,1,1.489,Middle,2,3.21,Left,1,4.143,Left,1,0.636,Fear,3,3.274,Joy,4,2.318,Fear,3,1.353
Male,2,3.443,Male,2,1.743,Male,2,4.588,Democrat,1,0.286,Democrat,1,4.402,Democrat,1,1.156,Middle,2,2.364,Left,1,4.602,Left,1,1.818,Fear,3,0.85,Joy,4,2.634,Joy,4,3.656
Male,2,3.441,Male,2,4.232,Male,2,3.844,Republican,2,3.894,Republican,2,3.346,Republican,2,3.075,Middle,2,3.138,Middle,2,0.765,Left,1,2.412,Fear,3,2.764,Joy,4,1.792,Joy,4,3.608
Male,2,0.835,Male,2,2.549,Male,2,4.514,Republican,2,3.74,Republican,2,2.645,Republican,2,1.872,Middle,2,1.994,Middle,2,1.269,Left,1,0.933,Joy,4,1.614,Joy,4,1.416,Joy,4,4.732
Male,2,0.593,Male,2,3.354,Male,2,3.186,Republican,2,3.926,Republican,2,3.29,Republican,2,2.672,Middle,2,2.296,Middle,2,1.995,Left,1,3.138,Joy,4,0.685,Sadness,5,3.846,Joy,4,4.429
Male,2,3.604,Male,2,3.973,Male,2,2.678,Republican,2,2.119,Republican,2,2.31,Republican,2,1.536,Middle,2,3.259,Middle,2,4.567,Left,1,3.204,Sadness,5,4.342,Sadness,5,3.366,Sadness,5,1.23
Male,2,2.669,Male,2,3.229,Male,2,3.474,Republican,2,4.681,Republican,2,1.334,Republican,2,3.033,Right,3,4.689,Middle,2,2.157,Middle,2,2.615,Sadness,5,3.221,Sadness,5,1.204,Sadness,5,2.083
Male,2,4.016,Male,2,3.568,Male,2,3.921,Republican,2,3.266,Republican,2,2.543,Republican,2,1.424,Right,3,1.952,Middle,2,2.035,Middle,2,1.731,Sadness,5,2.865,Sadness,5,2.439,Sadness,5,3.396
Male,2,3.92,Male,2,3.842,Male,2,2.928,Republican,2,2.104,Republican,2,4.258,Republican,2,2.598,Right,3,1.463,Middle,2,1.865,Middle,2,4.21,Sadness,5,4,Sadness,5,4.024,Sadness,5,4.594
Male,2,4.047,Male,2,1.248,Male,2,1.572,Republican,2,1.413,Republican,2,3.203,Republican,2,1.721,Right,3,1.245,Middle,2,2.751,Middle,2,3.968,Sadness,5,3.505,Sadness,5,3.062,Sadness,5,2.493
Male,2,1.782,Male,2,1.43,Male,2,4.417,Republican,2,0.788,Republican,2,2.703,Republican,2,0.915,Right,3,3.944,Middle,2,0.333,Middle,2,0.811,Sadness,5,2.464,Sadness,5,3.568,Sadness,5,3.029
Male,2,1.767,Male,2,1.478,Male,2,1.357,Republican,2,1.524,Republican,2,2.368,Republican,2,0.681,Right,3,1.52,Middle,2,0.737,Middle,2,4.856,Sadness,5,4.451,Sadness,5,3.437,Sadness,5,2.818
Male,2,4.995,Male,2,3.573,Male,2,1.001,Republican,2,1.674,Republican,2,4.401,Republican,2,1.934,Right,3,4.51,Middle,2,1.674,Middle,2,1.398,Sadness,5,3.018,Sadness,5,3.839,Sadness,5,2.78
Male,2,3.18,Male,2,2.835,Male,2,2.111,Republican,2,2.469,Republican,2,2.201,Republican,2,1.987,Right,3,4.696,Right,3,2.283,Middle,2,1.914,Surprise,6,0.483,Sadness,5,1.888,Sadness,5,4.84
Male,2,1.428,Male,2,3.285,Male,2,1.234,Republican,2,2.062,Republican,2,2.608,Republican,2,1.988,Right,3,4.055,Right,3,4.709,Middle,2,3.33,Angry,1,4.948,Sadness,5,4.753,Sadness,5,4.278
Male,2,0.897,Male,2,1.83,Male,2,1.292,Republican,2,4.057,Republican,2,2.884,Republican,2,3.334,Right,3,1.214,Right,3,4.954,Middle,2,1.28,Angry,1,4.767,Sadness,5,3.265,Sadness,5,3.424
Male,2,0.92,Male,2,1.25,Male,2,2.404,Republican,2,3.914,Republican,2,3.527,Republican,2,3.401,Right,3,3.304,Left,1,3.233,Middle,2,3.617,Disgust,2,1.238,Sadness,5,4.942,Surprise,6,2.663
Male,2,2.784,Male,2,2.416,Male,2,2.111,Republican,2,3.394,Republican,2,3.317,Republican,2,2.286,Right,3,3.484,Left,1,1.648,Right,3,4.94,Disgust,2,0.748,Surprise,6,3.43,Surprise,6,4.729
Male,2,4.604,Male,2,2.545,Male,2,2.025,Republican,2,2.117,Republican,2,0.973,Republican,2,2.458,Left,1,0.268,Left,1,2.757,Right,3,4.933,Disgust,2,1.53,Surprise,6,2.762,Angry,1,4.391
Male,2,3.888,Male,2,3.016,Male,2,1.476,Republican,2,1.862,Republican,2,3.135,Republican,2,2.446,Left,1,3.214,Left,1,1.22,Right,3,3.307,Fear,3,2.211,Surprise,6,4.412,Angry,1,0.635
Male,2,3.349,Male,2,4.531,Male,2,4.55,Republican,2,2.781,Republican,2,1.974,Republican,2,2.57,Left,1,0.706,Left,1,3.774,Right,3,2.559,Fear,3,3.824,Angry,1,2.854,Fear,2,4.456
Male,2,3.525,Male,2,4.421,Male,2,4.547,Republican,2,2.845,Republican,2,2.225,Republican,2,2.755,Left,1,0.239,Left,1,2.141,Left,1,2.326,Fear,3,3.658,Angry,1,0.824,Fear,2,4.034
Male,2,4.252,Male,2,3.093,Male,2,1.674,Republican,2,1.545,Republican,2,0.762,Republican,2,2.233,Middle,2,2.578,Left,1,4.164,Left,1,1.327,Fear,3,2.968,Disgust,2,1.314,Fear,2,3.533
Male,2,2.33,Male,2,0.561,Male,2,2.98,Republican,2,1.591,Republican,2,4.29,Republican,2,3.159,Middle,2,4.726,Left,1,0.983,Left,1,1.293,Fear,3,4.5,Disgust,2,0.857,Fear,2,3.466
Male,2,1.372,Male,2,2.258,Male,2,3.227,Republican,2,3.612,Republican,2,2.113,Republican,2,2.194,Middle,2,5.046,Left,1,4.378,Left,1,1.284,Fear,3,3.388,Disgust,2,2.022,Fear,2,3.463
Female,1,1.32,Male,2,2.717,Male,2,1.833,Republican,2,0,Republican,2,1.068,Democrat,1,1.31,Middle,2,2.154,Left,1,2.853,Left,1,1.394,Fear,3,2.294,Fear,3,3.046,Fear,2,3.68
Female,1,0.846,Male,2,3.556,Female,1,1.657,Republican,2,3.571,Republican,2,4.014,Republican,2,2.511,Middle,2,2.184,Left,1,2.56,Left,1,4.828,Fear,3,3.438,Fear,3,2.801,Fear,2,1.697
Female,1,2.925,Female,1,3.563,Female,1,5.021,Republican,2,1.132,Republican,2,3.591,Republican,2,3.866,Middle,2,4.946,Middle,2,3.138,Middle,2,0.765,Fear,3,3.157,Fear,3,2.705,Fear,2,2.051
Female,1,2.056,Female,1,1.429,Female,1,0.702,Republican,2,1.725,Republican,2,3.423,Republican,2,4.138,Middle,2,5.048,Middle,2,0.993,Middle,2,0.738,Fear,3,2.176,Fear,3,4.166,Fear,2,4.028
Female,1,3.217,Female,1,0.582,Female,1,0.805,Democrat,1,0.964,Republican,2,0.744,Republican,2,2.378,Middle,2,1.601,Middle,2,0.748,Middle,2,2.906,Fear,3,3.7,Fear,3,4.79,Fear,2,3.526
Female,1,1.742,Female,1,2.954,Female,1,0.942,Democrat,1,0.96,Democrat,1,1.576,Republican,2,3.464,Middle,2,4.604,Middle,2,2.001,Middle,2,1.509,Fear,3,4.391,Fear,3,4.226,Fear,2,3.153
Female,1,1.135,Female,1,3.032,Female,1,1.573,Democrat,1,0.365,Democrat,1,1.166,Republican,2,2.1,Middle,2,3.849,Middle,2,0.656,Middle,2,1.779,Fear,3,3.161,Fear,3,3.491,Fear,2,2.862
Male,2,0.744,Female,1,2.21,Female,1,1.748,Democrat,1,0.231,Democrat,1,0.726,Republican,2,4.36,Middle,2,3.014,Middle,2,1.002,Middle,2,2.036,Fear,3,1.376,Fear,3,2.169,Fear,2,3.212
Male,2,2.908,Female,1,3.982,Male,2,3.83,Democrat,1,1.204,Democrat,1,1.177,Republican,2,2.758,Middle,2,2.653,Middle,2,3.538,Middle,2,0,Fear,3,4.093,Fear,3,5.109,Fear,2,2.207
Male,2,2.662,Male,2,0.566,Male,2,2.191,Democrat,1,0.484,Republican,2,3.132,Republican,2,2.005,Middle,2,4.955,Middle,2,4.621,Middle,2,1.189,Fear,3,2.805,Fear,3,3.203,Fear,2,3.614
Male,2,3.223,Male,2,2.227,Male,2,2.614,Republican,2,0.983,Republican,2,3.095,Republican,2,2.207,Middle,2,1.586,Middle,2,3.11,Middle,2,2.306,Fear,3,5.078,Joy,4,2.79,Joy,4,1.081
Male,2,3.485,Male,2,1.734,Male,2,4.544,Republican,2,2.047,Republican,2,1.232,Republican,2,3.115,Right,3,3.4,Middle,2,1.378,Middle,2,4.869,Joy,4,0.476,Joy,4,2.042,Surprise,6,0.654
Male,2,4.399,Male,2,3.724,Male,2,4.142,Republican,2,2.722,Republican,2,0.912,Republican,2,0.866,Right,3,2.131,Middle,2,1.075,Middle,2,3.158,Joy,4,1.233,Joy,4,1.358,Surprise,6,2.716
Male,2,1.616,Male,2,3.237,Male,2,3.828,Republican,2,0.948,Republican,2,2.021,Republican,2,4.251,Right,3,1.569,Right,3,3.836,Right,3,3.629,,,,Sadness,5,1.052,Surprise,6,3.91
Male,2,1.403,Male,2,3.116,Male,2,1.638,Republican,2,2.027,Republican,2,2.701,Republican,2,3.144,Right,3,3.918,Right,3,2.058,Right,3,4.598,,,,Surprise,6,1.342,,,
Male,2,3.645,Male,2,3.312,Male,2,1.254,Republican,2,2.031,Republican,2,1.948,Republican,2,2.099,,,,,,,,,,,,,Surprise,6,2.382,,,
Male,2,1.688,Male,2,2.574,Male,2,1.562,Republican,2,2.7,Republican,2,0.139,Republican,2,1.583,,,,,,,,,,,,,,,,,,
Male,2,1.801,Male,2,1.795,Male,2,1.038,Republican,2,2.501,Republican,2,2.028,Republican,2,2.429,,,,,,,,,,,,,,,,,,
Male,2,3.806,Male,2,3.733,Male,2,1.518,Republican,2,3.206,Republican,2,1.674,Republican,2,1.224,,,,,,,,,,,,,,,,,,
Male,2,1.29,Male,2,4.565,Male,2,2.614,Republican,2,1.518,Republican,2,2.376,Republican,2,1.065,,,,,,,,,,,,,,,,,,
Male,2,1.426,Male,2,3.281,Male,2,2.171,Republican,2,2.717,Republican,2,2.055,Republican,2,1.359,,,,,,,,,,,,,,,,,,
Male,2,3.33,Male,2,4.344,Male,2,3.007,Republican,2,1.97,Republican,2,0.911,Republican,2,3.585,,,,,,,,,,,,,,,,,,
Male,2,4.453,Male,2,4.811,Male,2,4.285,Republican,2,1.998,Republican,2,2.486,Republican,2,3.061,,,,,,,,,,,,,,,,,,
Male,2,3.13,Male,2,0.658,Male,2,4.802,Republican,2,3.095,Republican,2,1.912,Republican,2,2.234,,,,,,,,,,,,,,,,,,
Male,2,2.189,Male,2,2.547,Male,2,4.886,Republican,2,2.844,Republican,2,2.038,Republican,2,2.839,,,,,,,,,,,,,,,,,,
Male,2,3.618,Male,2,2.55,Male,2,3.417,Republican,2,1.248,Republican,2,2.219,Republican,2,4.039,,,,,,,,,,,,,,,,,,
