g1_con,g1_con_coded,g1_con_time,g1_incon,g1_incon_coded,g1_incon_time,g1_n,g1_n_coded,g1_n_time,p1_con,p1_con_coded,p1_con_time,p1_incon,p1_incon_coded,p1_incon_time,p1_n,p1_n_coded,p1_n_time,d1_con,d1_con_coded,d1_con_time,d1_incon,d1_incon_coded,d1_incon_time,d1_n,d1_n_coded,d1_n_time,e1_con,e1_con_coded,e1_con_time,e1_incon,e1_incon_coded,e1_incon_time,e1_n,e1_n_coded,e1_n_time
Female,1,1.32,Female,1,3.563,Female,1,1.657,Democrat,1,0.964,Democrat,1,1.576,Democrat,1,1.31,Left,1,0.268,Left,1,3.233,Left,1,2.326,Angry,1,4.948,Angry,1,2.854,Angry,1,4.391
Female,1,0.846,Female,1,1.429,Female,1,5.021,Democrat,1,0.96,Democrat,1,1.166,Republican,2,2.511,Left,1,3.214,Left,1,1.648,Left,1,1.327,Angry,1,4.767,Angry,1,0.824,Angry,1,0.635
Female,1,2.925,Female,1,0.582,Female,1,0.702,Democrat,1,0.365,Democrat,1,0.726,Republican,2,3.866,Left,1,0.706,Left,1,2.757,Left,1,1.293,Disgust,2,1.238,Disgust,2,1.314,Fear,2,4.456
Female,1,2.056,Female,1,2.954,Female,1,0.805,Democrat,1,0.231,Democrat,1,1.177,Republican,2,4.138,Left,1,0.239,Left,1,1.22,Left,1,1.284,Disgust,2,0.748,Disgust,2,0.857,Fear,2,4.034
Female,1,3.217,Female,1,3.032,Female,1,0.942,Democrat,1,1.204,Republican,2,3.132,Republican,2,2.378,Middle,2,2.578,Left,1,3.774,Left,1,1.394,Disgust,2,1.53,Disgust,2,2.022,Fear,2,3.533
Female,1,1.742,Female,1,2.21,Female,1,1.573,Democrat,1,0.484,Republican,2,3.095,Republican,2,3.464,Middle,2,4.726,Left,1,2.141,Left,1,4.828,Fear,3,2.211,Fear,3,3.046,Fear,2,3.466
Female,1,1.135,Female,1,3.982,Female,1,1.748,Republican,2,0.983,Republican,2,1.232,Republican,2,2.1,Middle,2,5.046,Left,1,4.164,Middle,2,0.765,Fear,3,3.824,Fear,3,2.801,Fear,2,3.463
Male,2,0.744,Male,2,0.566,Male,2,3.83,Republican,2,2.047,Republican,2,0.912,Republican,2,4.36,Middle,2,2.154,Left,1,0.983,Middle,2,0.738,Fear,3,3.658,Fear,3,2.705,Fear,2,3.68
Male,2,2.908,Male,2,2.227,Male,2,2.191,Republican,2,2.722,Republican,2,2.021,Republican,2,2.758,Middle,2,2.184,Left,1,4.378,Middle,2,2.906,Fear,3,2.968,Fear,3,4.166,Fear,2,1.697
Male,2,2.662,Male,2,1.734,Male,2,2.614,Republican,2,0.948,Republican,2,2.701,Republican,2,2.005,Middle,2,4.946,Left,1,2.853,Middle,2,1.509,Fear,3,4.5,Fear,3,4.79,Fear,2,2.051
Male,2,3.223,Male,2,3.724,Male,2,4.544,Republican,2,2.027,Republican,2,1.948,Republican,2,2.207,Middle,2,5.048,Left,1,2.56,Middle,2,1.779,Fear,3,3.388,Fear,3,4.226,Fear,2,4.028
Male,2,3.485,Male,2,3.237,Male,2,4.142,Republican,2,2.031,Republican,2,0.139,Republican,2,3.115,Middle,2,1.601,Middle,2,3.138,Middle,2,2.036,Fear,3,2.294,Fear,3,3.491,Fear,2,3.526
